Game_ID,Player_ID,OffRtg,DefRtg
006728e4c10e957011e1f24878e6054a,ae53f8ba6761b64a174051da817785bc,75.0,106.67
006728e4c10e957011e1f24878e6054a,8d2127290c94bd41b82a2938734bc750,112.28,126.32
006728e4c10e957011e1f24878e6054a,e816ff284dc3f965b8f3d605a3b91bae,0,0
006728e4c10e957011e1f24878e6054a,ed95dff5440fadf3042b5acacea81eed,0,0
006728e4c10e957011e1f24878e6054a,2ad626904c8b28cceb8e12c624a84240,86.49,122.86
006728e4c10e957011e1f24878e6054a,bd45fe7dba52aa2cd00ba80ff107d05b,0,0
006728e4c10e957011e1f24878e6054a,766802a8fda500d7945950de7398c9c6,108.22,112.33
006728e4c10e957011e1f24878e6054a,42e0d7167f04a4ff958c6442da0e6851,113.04,111.43
006728e4c10e957011e1f24878e6054a,c5dd5b2e3b975f0849d9b74e74125cb9,103.8,117.28
006728e4c10e957011e1f24878e6054a,5db9c1c8184510fee8161e7fafdc9c49,80.0,103.03
006728e4c10e957011e1f24878e6054a,f4a5ca938177c407a9dab5412e39498f,83.87,110.34
006728e4c10e957011e1f24878e6054a,c10b49616a2f4a23607dc1a8be4fde9f,0,0
006728e4c10e957011e1f24878e6054a,dd1da128c27db468d95b99b583f8a57d,0,0
006728e4c10e957011e1f24878e6054a,618f6d58ab2881152607c2a6e057bc51,120.41,116.0
006728e4c10e957011e1f24878e6054a,e59b921ab3da55f632bc748beb12805a,0,0
006728e4c10e957011e1f24878e6054a,44230324724c84f122ac62a5f0918314,111.76,88.89
006728e4c10e957011e1f24878e6054a,48ec4e6c52f418d5ca4ef510ba473ea0,104.92,108.47
006728e4c10e957011e1f24878e6054a,616281dee946056b071699476fdee9ec,109.52,121.43
006728e4c10e957011e1f24878e6054a,e814950408915f43de2b079dce7c21c5,106.45,116.13
006728e4c10e957011e1f24878e6054a,99104de2626f67c1fa2ce70504970c3f,108.62,100.0
006728e4c10e957011e1f24878e6054a,1b37fed4823f31ccbf03515f4b9fe438,0,0
006728e4c10e957011e1f24878e6054a,d00d552bc4e50f63f9397a74514519ba,0,0
006728e4c10e957011e1f24878e6054a,4ef3dae16c436459ff05156abca5cebd,115.56,90.91
006728e4c10e957011e1f24878e6054a,902362537ff2a39c0c0cfb82ab0adac2,0,0
006728e4c10e957011e1f24878e6054a,4413c19cf092bda39332d7833c90bfe6,130.0,106.06
006728e4c10e957011e1f24878e6054a,bf6ed471f8425903310f08548a206905,0,0
006728e4c10e957011e1f24878e6054a,5cce6ffa455e6372d9de0de400482ab6,125.0,80.0
006728e4c10e957011e1f24878e6054a,4dd3d6a51dc97c651d3a86eec4362a1f,127.78,100.0
006728e4c10e957011e1f24878e6054a,7027df5d9c51192f3527ac8c74b4d08d,0,0
006728e4c10e957011e1f24878e6054a,d81d912f81fa43178f423aa89a713e96,124.32,116.22
03ac65b9a32fde1e201bfb427f6e41e4,255fe2a8be0ed5c06dd99969ab4fea55,146.15,122.22
03ac65b9a32fde1e201bfb427f6e41e4,94e99d76e87ee926faab66d382b3a955,0,0
03ac65b9a32fde1e201bfb427f6e41e4,52c6125836c465f4ac5232121dacb49d,133.33,121.21
03ac65b9a32fde1e201bfb427f6e41e4,ff59dc439c6c323320bc355afe884fcb,98.72,101.33
03ac65b9a32fde1e201bfb427f6e41e4,3626b893fc73a5cbd67d1ea48a5c7039,103.16,110.75
03ac65b9a32fde1e201bfb427f6e41e4,0b978fcfa7f2ec839c563a755e345ff8,72.0,111.54
03ac65b9a32fde1e201bfb427f6e41e4,bfef77a3e57907855444410d490e7bfd,0,0
03ac65b9a32fde1e201bfb427f6e41e4,1a6703883f8f47bb4daf09c03be3bda2,134.33,100.0
03ac65b9a32fde1e201bfb427f6e41e4,31598ba01a3fff03ed0a87d7dea11dfe,102.38,111.9
03ac65b9a32fde1e201bfb427f6e41e4,a1591595c04d12e88e3cb427fb667618,106.52,103.37
03ac65b9a32fde1e201bfb427f6e41e4,6f6a807d57aae8f651222523dc82dc35,107.69,100.0
03ac65b9a32fde1e201bfb427f6e41e4,fbcda0bcb861e4726ca8871b8965ede4,0,0
03ac65b9a32fde1e201bfb427f6e41e4,14de632b07100527b0ced12fd4eeffb7,0,0
03ac65b9a32fde1e201bfb427f6e41e4,821887f9a002be16b5f79729fae59e01,0,0
03ac65b9a32fde1e201bfb427f6e41e4,3d75035d20b173a867d4bf32c8a58f0b,0,0
03ac65b9a32fde1e201bfb427f6e41e4,ad1c818605d80c2d6aeabf60426e94a9,0,0
03ac65b9a32fde1e201bfb427f6e41e4,7dfbb5980c066844384ba7424aceae47,109.52,103.45
03ac65b9a32fde1e201bfb427f6e41e4,7ad61d685fab533836df6c4605db1ac2,0,0
03ac65b9a32fde1e201bfb427f6e41e4,ff52c317e26534ae1679da3c917e9fec,111.54,109.35
03ac65b9a32fde1e201bfb427f6e41e4,25b9943b95a816346c06eae76c78a593,0,0
03ac65b9a32fde1e201bfb427f6e41e4,ef232aca3c330ff4f84215374638d026,0,0
03ac65b9a32fde1e201bfb427f6e41e4,11beb0ae23e6425510297a31fa21881e,104.82,106.67
03ac65b9a32fde1e201bfb427f6e41e4,1177a5cdd245dc40c6c39bac4df89ce3,0,0
03ac65b9a32fde1e201bfb427f6e41e4,6ad10958a1d4920dccb1daec39bebd6b,101.27,97.53
03ac65b9a32fde1e201bfb427f6e41e4,83c15c0962941640faab838a8f6f151d,105.21,101.02
03ac65b9a32fde1e201bfb427f6e41e4,a3bac86ad549b2f128a62399d73d6299,122.5,141.46
03ac65b9a32fde1e201bfb427f6e41e4,41c0674725d4cddab004649e9db5a3ce,104.35,129.17
03ac65b9a32fde1e201bfb427f6e41e4,90ba0d1de241290df2e124a5e02d68ef,106.25,133.33
03ac65b9a32fde1e201bfb427f6e41e4,1f568a2342e4c375873d49a15e2d4448,140.0,150.0
03ac65b9a32fde1e201bfb427f6e41e4,31f28da997f1ed51f0f688b9d004b269,0,0
096e231adad0be6ab1cc89cce56847f8,ae53f8ba6761b64a174051da817785bc,126.92,103.85
096e231adad0be6ab1cc89cce56847f8,8d2127290c94bd41b82a2938734bc750,125.93,109.8
096e231adad0be6ab1cc89cce56847f8,e816ff284dc3f965b8f3d605a3b91bae,80.0,125.0
096e231adad0be6ab1cc89cce56847f8,ed95dff5440fadf3042b5acacea81eed,0,0
096e231adad0be6ab1cc89cce56847f8,2ad626904c8b28cceb8e12c624a84240,111.76,91.18
096e231adad0be6ab1cc89cce56847f8,bd45fe7dba52aa2cd00ba80ff107d05b,0,0
096e231adad0be6ab1cc89cce56847f8,766802a8fda500d7945950de7398c9c6,128.17,108.22
096e231adad0be6ab1cc89cce56847f8,42e0d7167f04a4ff958c6442da0e6851,133.33,111.43
096e231adad0be6ab1cc89cce56847f8,c5dd5b2e3b975f0849d9b74e74125cb9,128.75,106.33
096e231adad0be6ab1cc89cce56847f8,5db9c1c8184510fee8161e7fafdc9c49,100.0,100.0
096e231adad0be6ab1cc89cce56847f8,f4a5ca938177c407a9dab5412e39498f,124.59,101.64
096e231adad0be6ab1cc89cce56847f8,c10b49616a2f4a23607dc1a8be4fde9f,127.12,106.45
096e231adad0be6ab1cc89cce56847f8,dd1da128c27db468d95b99b583f8a57d,80.0,125.0
096e231adad0be6ab1cc89cce56847f8,618f6d58ab2881152607c2a6e057bc51,116.98,90.74
096e231adad0be6ab1cc89cce56847f8,e59b921ab3da55f632bc748beb12805a,0,0
096e231adad0be6ab1cc89cce56847f8,44230324724c84f122ac62a5f0918314,76.6,126.09
096e231adad0be6ab1cc89cce56847f8,48ec4e6c52f418d5ca4ef510ba473ea0,115.71,119.72
096e231adad0be6ab1cc89cce56847f8,616281dee946056b071699476fdee9ec,118.64,121.31
096e231adad0be6ab1cc89cce56847f8,e814950408915f43de2b079dce7c21c5,108.11,129.33
096e231adad0be6ab1cc89cce56847f8,99104de2626f67c1fa2ce70504970c3f,126.53,126.53
096e231adad0be6ab1cc89cce56847f8,1b37fed4823f31ccbf03515f4b9fe438,95.45,95.45
096e231adad0be6ab1cc89cce56847f8,d00d552bc4e50f63f9397a74514519ba,80.0,150.0
096e231adad0be6ab1cc89cce56847f8,4ef3dae16c436459ff05156abca5cebd,80.49,120.0
096e231adad0be6ab1cc89cce56847f8,902362537ff2a39c0c0cfb82ab0adac2,92.31,107.69
096e231adad0be6ab1cc89cce56847f8,4413c19cf092bda39332d7833c90bfe6,80.95,121.74
096e231adad0be6ab1cc89cce56847f8,bf6ed471f8425903310f08548a206905,0,0
096e231adad0be6ab1cc89cce56847f8,5cce6ffa455e6372d9de0de400482ab6,91.18,115.15
096e231adad0be6ab1cc89cce56847f8,4dd3d6a51dc97c651d3a86eec4362a1f,0,0
096e231adad0be6ab1cc89cce56847f8,7027df5d9c51192f3527ac8c74b4d08d,0,0
096e231adad0be6ab1cc89cce56847f8,d81d912f81fa43178f423aa89a713e96,120.75,129.63
117a5a71c34c2d8a39ff66d884462bd7,5a634567f5022bf46e1c990096fceb9f,0,0
